"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2024","183.75","189.59","189.68","181.45","51.04M","-2.22%"
"07/17/2024","187.93","191.35","191.58","185.99","48.08M","-2.64%"
"07/16/2024","193.02","195.59","196.62","192.24","33.99M","0.16%"
"07/15/2024","192.72","194.56","196.19","190.83","40.68M","-0.91%"
"07/12/2024","194.49","194.80","196.47","193.83","30.60M","-0.29%"
"07/11/2024","195.05","200.09","200.27","192.86","44.57M","-2.37%"
"07/10/2024","199.79","199.99","200.11","197.69","32.88M","0.23%"
"07/09/2024","199.34","199.40","200.57","199.04","32.76M","0.03%"
"07/08/2024","199.29","200.04","201.20","197.96","34.77M","-0.36%"
"07/05/2024","200.00","198.65","200.55","198.17","39.86M","1.22%"
"07/03/2024","197.59","199.94","200.03","196.76","31.60M","-1.21%"
"07/02/2024","200.00","197.28","200.43","195.93","45.60M","1.42%"
"07/01/2024","197.20","193.49","198.30","192.82","41.19M","2.04%"
"06/28/2024","193.25","197.73","198.85","192.50","76.93M","-2.32%"
"06/27/2024","197.85","195.01","199.84","194.20","74.40M","2.19%"
"06/26/2024","193.61","186.92","194.80","186.26","65.10M","3.90%"
"06/25/2024","186.34","186.81","188.84","185.42","45.90M","0.41%"
"06/24/2024","185.57","189.33","191.00","185.33","50.61M","-1.86%"
"06/21/2024","189.08","187.80","189.27","185.86","72.93M","1.60%"
"06/20/2024","186.10","182.91","186.51","182.72","44.73M","1.80%"
"06/18/2024","182.81","183.74","184.29","181.43","36.66M","-0.68%"
"06/17/2024","184.06","182.52","185.00","181.22","35.60M","0.22%"
"06/14/2024","183.66","183.08","183.72","182.23","25.46M","-0.09%"
"06/13/2024","183.83","186.09","187.67","182.67","39.72M","-1.64%"
"06/12/2024","186.89","188.01","188.35","185.43","33.98M","-0.18%"
"06/11/2024","187.23","187.06","187.77","184.54","27.27M","0.09%"
"06/10/2024","187.06","184.07","187.23","183.79","34.49M","1.50%"
"06/07/2024","184.30","184.90","186.29","183.36","28.02M","-0.38%"
"06/06/2024","185.00","181.74","185.00","181.49","31.37M","2.05%"
"06/05/2024","181.28","180.10","181.50","178.75","32.12M","1.08%"
"06/04/2024","179.34","177.64","179.82","176.44","27.20M","0.56%"
"06/03/2024","178.34","177.70","178.70","175.92","30.79M","1.08%"
"05/31/2024","176.44","178.30","179.21","173.87","58.90M","-1.61%"
